Attack_fleet = 28
Defend_fleet = 23
Attacker, Defender, attack damage, defender's health
ObjectId('5278052e6f94c119c081efef') , ObjectId('5278052e6f94c119c081f0ed') , 1442, 58
ObjectId('5278052e6f94c119c081effb') , ObjectId('5278052e6f94c119c081f0d5') , 691, 809
ObjectId('5278052e6f94c119c081f007') , ObjectId('5278052e6f94c119c081f11d') , 597, 903
ObjectId('5278052e6f94c119c081f013') , ObjectId('5278052e6f94c119c081f0d5') , 444, 1056
ObjectId('5278052e6f94c119c081f01f') , ObjectId('5278052e6f94c119c081f105') , 892, 608
Defender, Attacker, defend damage, attacker's health
ObjectId('5278052e6f94c119c081f051') , ObjectId('5278052e6f94c119c081eedb') , 1033, 467
ObjectId('5278052e6f94c119c081f05d') , ObjectId('5278052e6f94c119c081eee7') , 1487, 13
ObjectId('5278052e6f94c119c081f069') , ObjectId('5278052e6f94c119c081eef3') , 456, 1044
ObjectId('5278052e6f94c119c081f075') , ObjectId('5278052e6f94c119c081eeff') , 1596, -96
ObjectId('5278052e6f94c119c081f081') , ObjectId('5278052e6f94c119c081ef0b') , 598, 902
ObjectId('5278052e6f94c119c081f08d') , ObjectId('5278052e6f94c119c081ef17') , 1148, 352
ObjectId('5278052e6f94c119c081f099') , ObjectId('5278052e6f94c119c081ef23') , 461, 1039
ObjectId('5278052e6f94c119c081f0a5') , ObjectId('5278052e6f94c119c081ef2f') , 1468, 32
ObjectId('5278052e6f94c119c081f0b1') , ObjectId('5278052e6f94c119c081ef3b') , 754, 746
ObjectId('5278052e6f94c119c081f0bd') , ObjectId('5278052e6f94c119c081ef47') , 825, 675
ObjectId('5278052e6f94c119c081f0c9') , ObjectId('5278052e6f94c119c081ef53') , 816, 684
ObjectId('5278052e6f94c119c081f0d5') , ObjectId('5278052e6f94c119c081ef5f') , 794, 706
ObjectId('5278052e6f94c119c081f0e1') , ObjectId('5278052e6f94c119c081ef6b') , 1373, 127
ObjectId('5278052e6f94c119c081f0ed') , ObjectId('5278052e6f94c119c081ef77') , 1600, -100
ObjectId('5278052e6f94c119c081f0f9') , ObjectId('5278052e6f94c119c081ef83') , 1333, 167
ObjectId('5278052e6f94c119c081f105') , ObjectId('5278052e6f94c119c081ef8f') , 2216, -716
ObjectId('5278052e6f94c119c081f111') , ObjectId('5278052e6f94c119c081ef9b') , 1993, -493
ObjectId('5278052e6f94c119c081f11d') , ObjectId('5278052e6f94c119c081efa7') , 547, 953
ObjectId('5278052e6f94c119c081f129') , ObjectId('5278052e6f94c119c081efb3') , 749, 751
ObjectId('5278052e6f94c119c081f135') , ObjectId('5278052e6f94c119c081efbf') , 804, 696
ObjectId('5278052e6f94c119c081f141') , ObjectId('5278052e6f94c119c081efcb') , 652, 848
ObjectId('5278052e6f94c119c081f14d') , ObjectId('5278052e6f94c119c081efd7') , 894, 606
ObjectId('5278052e6f94c119c081f159') , ObjectId('5278052e6f94c119c081efe3') , 2063, -563
Attacker Kill Count:  5
Defender Kill Count:  5

Attack_fleet = 23
Defend_fleet = 18
Attacker, Defender, attack damage, defender's health
ObjectId('5278052e6f94c119c081eedb') , ObjectId('5278052e6f94c119c081f051') , 1210, -456
ObjectId('5278052e6f94c119c081eee7') , ObjectId('5278052e6f94c119c081f05d') , 336, 543
ObjectId('5278052e6f94c119c081eef3') , ObjectId('5278052e6f94c119c081f069') , 786, -123
ObjectId('5278052e6f94c119c081ef0b') , ObjectId('5278052e6f94c119c081f075') , 928, -21
ObjectId('5278052e6f94c119c081ef17') , ObjectId('5278052e6f94c119c081f099') , 1545, -473
ObjectId('5278052e6f94c119c081ef23') , ObjectId('5278052e6f94c119c081f0b1') , 518, 429
ObjectId('5278052e6f94c119c081ef2f') , ObjectId('5278052e6f94c119c081f0bd') , 1300, -568
ObjectId('5278052e6f94c119c081ef3b') , ObjectId('5278052e6f94c119c081f0c9') , 477, 443
ObjectId('5278052e6f94c119c081ef47') , ObjectId('5278052e6f94c119c081f0d5') , 1579, -523
ObjectId('5278052e6f94c119c081ef53') , ObjectId('5278052e6f94c119c081f0e1') , 873, -464
ObjectId('5278052e6f94c119c081ef5f') , ObjectId('5278052e6f94c119c081f0ed') , 484, -426
ObjectId('5278052e6f94c119c081ef6b') , ObjectId('5278052e6f94c119c081f105') , 995, -387
ObjectId('5278052e6f94c119c081ef83') , ObjectId('5278052e6f94c119c081f111') , 1690, -600
ObjectId('5278052e6f94c119c081efa7') , ObjectId('5278052e6f94c119c081f11d') , 924, -21
ObjectId('5278052e6f94c119c081efb3') , ObjectId('5278052e6f94c119c081f129') , 1247, -1143
ObjectId('5278052e6f94c119c081efbf') , ObjectId('5278052e6f94c119c081f135') , 570, 463
ObjectId('5278052e6f94c119c081efcb') , ObjectId('5278052e6f94c119c081f141') , 1427, -994
ObjectId('5278052e6f94c119c081efd7') , ObjectId('5278052e6f94c119c081f14d') , 1475, -673
ObjectId('5278052e6f94c119c081efef') , ObjectId('5278052e6f94c119c081f05d') , 559, 320
ObjectId('5278052e6f94c119c081effb') , ObjectId('5278052e6f94c119c081f05d') , 651, 228
ObjectId('5278052e6f94c119c081f007') , ObjectId('5278052e6f94c119c081f14d') , 1639, -837
ObjectId('5278052e6f94c119c081f013') , ObjectId('5278052e6f94c119c081f129') , 438, -334
ObjectId('5278052e6f94c119c081f01f') , ObjectId('5278052e6f94c119c081f0d5') , 645, 411
Defender, Attacker, defend damage, attacker's health
ObjectId('5278052e6f94c119c081f051') , ObjectId('5278052e6f94c119c081eedb') , 453, 14
ObjectId('5278052e6f94c119c081f05d') , ObjectId('5278052e6f94c119c081eee7') , 1243, -1230
ObjectId('5278052e6f94c119c081f069') , ObjectId('5278052e6f94c119c081eef3') , 739, 305
ObjectId('5278052e6f94c119c081f075') , ObjectId('5278052e6f94c119c081ef0b') , 1430, -528
ObjectId('5278052e6f94c119c081f099') , ObjectId('5278052e6f94c119c081ef17') , 492, -140
ObjectId('5278052e6f94c119c081f0b1') , ObjectId('5278052e6f94c119c081ef23') , 683, 356
ObjectId('5278052e6f94c119c081f0bd') , ObjectId('5278052e6f94c119c081ef2f') , 982, -950
ObjectId('5278052e6f94c119c081f0c9') , ObjectId('5278052e6f94c119c081ef3b') , 726, 20
ObjectId('5278052e6f94c119c081f0d5') , ObjectId('5278052e6f94c119c081ef47') , 1099, -424
ObjectId('5278052e6f94c119c081f0e1') , ObjectId('5278052e6f94c119c081ef53') , 668, 16
ObjectId('5278052e6f94c119c081f0ed') , ObjectId('5278052e6f94c119c081ef5f') , 1968, -1262
ObjectId('5278052e6f94c119c081f105') , ObjectId('5278052e6f94c119c081ef6b') , 2061, -1934
ObjectId('5278052e6f94c119c081f111') , ObjectId('5278052e6f94c119c081ef83') , 794, -627
ObjectId('5278052e6f94c119c081f11d') , ObjectId('5278052e6f94c119c081efa7') , 811, 142
ObjectId('5278052e6f94c119c081f129') , ObjectId('5278052e6f94c119c081efb3') , 305, 446
ObjectId('5278052e6f94c119c081f135') , ObjectId('5278052e6f94c119c081efbf') , 633, 63
ObjectId('5278052e6f94c119c081f141') , ObjectId('5278052e6f94c119c081efcb') , 1221, -373
ObjectId('5278052e6f94c119c081f14d') , ObjectId('5278052e6f94c119c081efd7') , 1282, -676
Attacker Kill Count:  16
Defender Kill Count:  10

Attack_fleet = 13
Defend_fleet = 4
Attacker, Defender, attack damage, defender's health
ObjectId('5278052e6f94c119c081eedb') , ObjectId('5278052e6f94c119c081f05d') , 597, -369
ObjectId('5278052e6f94c119c081eef3') , ObjectId('5278052e6f94c119c081f0b1') , 818, -389
ObjectId('5278052e6f94c119c081ef23') , ObjectId('5278052e6f94c119c081f0c9') , 518, -75
ObjectId('5278052e6f94c119c081ef3b') , ObjectId('5278052e6f94c119c081f135') , 487, -24
ObjectId('5278052e6f94c119c081ef53') , ObjectId('5278052e6f94c119c081f05d') , 491, -263
ObjectId('5278052e6f94c119c081efa7') , ObjectId('5278052e6f94c119c081f05d') , 805, -577
ObjectId('5278052e6f94c119c081efb3') , ObjectId('5278052e6f94c119c081f05d') , 1045, -817
ObjectId('5278052e6f94c119c081efbf') , ObjectId('5278052e6f94c119c081f0b1') , 461, -32
ObjectId('5278052e6f94c119c081efef') , ObjectId('5278052e6f94c119c081f0c9') , 1673, -1230
ObjectId('5278052e6f94c119c081effb') , ObjectId('5278052e6f94c119c081f135') , 571, -108
ObjectId('5278052e6f94c119c081f007') , ObjectId('5278052e6f94c119c081f0b1') , 1586, -1157
ObjectId('5278052e6f94c119c081f013') , ObjectId('5278052e6f94c119c081f135') , 717, -254
ObjectId('5278052e6f94c119c081f01f') , ObjectId('5278052e6f94c119c081f0c9') , 862, -419
Defender, Attacker, defend damage, attacker's health
ObjectId('5278052e6f94c119c081f05d') , ObjectId('5278052e6f94c119c081eedb') , 1336, -1322
ObjectId('5278052e6f94c119c081f0b1') , ObjectId('5278052e6f94c119c081eef3') , 674, -369
ObjectId('5278052e6f94c119c081f0c9') , ObjectId('5278052e6f94c119c081ef23') , 1072, -716
ObjectId('5278052e6f94c119c081f135') , ObjectId('5278052e6f94c119c081ef3b') , 461, -441
Attacker Kill Count:  13
Defender Kill Count:  4

Attack_fleet = 24
Defend_fleet = 20
Attacker, Defender, attack damage, defender's health
ObjectId('527805346f94c119c081f18b') , ObjectId('527805346f94c119c081f2d1') , 768, 732
ObjectId('527805346f94c119c081f197') , ObjectId('527805346f94c119c081f2dd') , 1090, 410
ObjectId('527805346f94c119c081f1a3') , ObjectId('527805346f94c119c081f2e9') , 433, 1067
ObjectId('527805346f94c119c081f1af') , ObjectId('527805346f94c119c081f2f5') , 597, 903
ObjectId('527805346f94c119c081f1bb') , ObjectId('527805346f94c119c081f301') , 511, 989
ObjectId('527805346f94c119c081f1c7') , ObjectId('527805346f94c119c081f30d') , 745, 755
ObjectId('527805346f94c119c081f1d3') , ObjectId('527805346f94c119c081f319') , 1610, -110
ObjectId('527805346f94c119c081f1df') , ObjectId('527805346f94c119c081f325') , 473, 1027
ObjectId('527805346f94c119c081f1eb') , ObjectId('527805346f94c119c081f331') , 408, 1092
ObjectId('527805346f94c119c081f1f7') , ObjectId('527805346f94c119c081f33d') , 666, 834
ObjectId('527805346f94c119c081f203') , ObjectId('527805346f94c119c081f349') , 421, 1079
ObjectId('527805346f94c119c081f20f') , ObjectId('527805346f94c119c081f355') , 720, 780
ObjectId('527805346f94c119c081f21b') , ObjectId('527805346f94c119c081f361') , 1424, 76
ObjectId('527805346f94c119c081f227') , ObjectId('527805346f94c119c081f36d') , 483, 1017
ObjectId('527805346f94c119c081f233') , ObjectId('527805346f94c119c081f379') , 1383, 117
ObjectId('527805346f94c119c081f23f') , ObjectId('527805346f94c119c081f385') , 521, 979
ObjectId('527805346f94c119c081f24b') , ObjectId('527805346f94c119c081f391') , 1506, -6
ObjectId('527805346f94c119c081f257') , ObjectId('527805346f94c119c081f39d') , 2335, -835
ObjectId('527805346f94c119c081f263') , ObjectId('527805346f94c119c081f3a9') , 1332, 168
ObjectId('527805346f94c119c081f26f') , ObjectId('527805346f94c119c081f3b5') , 1198, 302
ObjectId('527805346f94c119c081f27b') , ObjectId('527805346f94c119c081f301') , 1151, 349
ObjectId('527805346f94c119c081f287') , ObjectId('527805346f94c119c081f33d') , 565, 935
ObjectId('527805346f94c119c081f293') , ObjectId('527805346f94c119c081f3b5') , 396, 1104
ObjectId('527805346f94c119c081f29f') , ObjectId('527805346f94c119c081f39d') , 2276, -776
Defender, Attacker, defend damage, attacker's health
ObjectId('527805346f94c119c081f2d1') , ObjectId('527805346f94c119c081f18b') , 464, 1036
ObjectId('527805346f94c119c081f2dd') , ObjectId('527805346f94c119c081f197') , 1440, 60
ObjectId('527805346f94c119c081f2e9') , ObjectId('527805346f94c119c081f1a3') , 1612, -112
ObjectId('527805346f94c119c081f2f5') , ObjectId('527805346f94c119c081f1af') , 823, 677
ObjectId('527805346f94c119c081f301') , ObjectId('527805346f94c119c081f1bb') , 468, 1032
ObjectId('527805346f94c119c081f30d') , ObjectId('527805346f94c119c081f1c7') , 1689, -189
ObjectId('527805346f94c119c081f319') , ObjectId('527805346f94c119c081f1d3') , 624, 876
ObjectId('527805346f94c119c081f325') , ObjectId('527805346f94c119c081f1df') , 753, 747
ObjectId('527805346f94c119c081f331') , ObjectId('527805346f94c119c081f1eb') , 1210, 290
ObjectId('527805346f94c119c081f33d') , ObjectId('527805346f94c119c081f1f7') , 734, 766
ObjectId('527805346f94c119c081f349') , ObjectId('527805346f94c119c081f203') , 953, 547
ObjectId('527805346f94c119c081f355') , ObjectId('527805346f94c119c081f20f') , 741, 759
ObjectId('527805346f94c119c081f361') , ObjectId('527805346f94c119c081f21b') , 576, 924
ObjectId('527805346f94c119c081f36d') , ObjectId('527805346f94c119c081f227') , 1005, 495
ObjectId('527805346f94c119c081f379') , ObjectId('527805346f94c119c081f233') , 1143, 357
ObjectId('527805346f94c119c081f385') , ObjectId('527805346f94c119c081f23f') , 308, 1192
ObjectId('527805346f94c119c081f391') , ObjectId('527805346f94c119c081f24b') , 1157, 343
ObjectId('527805346f94c119c081f39d') , ObjectId('527805346f94c119c081f257') , 488, 1012
ObjectId('527805346f94c119c081f3a9') , ObjectId('527805346f94c119c081f263') , 1109, 391
ObjectId('527805346f94c119c081f3b5') , ObjectId('527805346f94c119c081f26f') , 730, 770
Attacker Kill Count:  4
Defender Kill Count:  2

Attack_fleet = 22
Defend_fleet = 17
Attacker, Defender, attack damage, defender's health
ObjectId('527805346f94c119c081f18b') , ObjectId('527805346f94c119c081f2d1') , 931, -199
ObjectId('527805346f94c119c081f197') , ObjectId('527805346f94c119c081f2dd') , 1808, -1398
ObjectId('527805346f94c119c081f1af') , ObjectId('527805346f94c119c081f2e9') , 1251, -184
ObjectId('527805346f94c119c081f1bb') , ObjectId('527805346f94c119c081f2f5') , 430, 473
ObjectId('527805346f94c119c081f1d3') , ObjectId('527805346f94c119c081f301') , 1552, -1203
ObjectId('527805346f94c119c081f1df') , ObjectId('527805346f94c119c081f30d') , 291, 464
ObjectId('527805346f94c119c081f1eb') , ObjectId('527805346f94c119c081f325') , 820, 207
ObjectId('527805346f94c119c081f1f7') , ObjectId('527805346f94c119c081f331') , 698, 394
ObjectId('527805346f94c119c081f203') , ObjectId('527805346f94c119c081f33d') , 528, 407
ObjectId('527805346f94c119c081f20f') , ObjectId('527805346f94c119c081f349') , 549, 530
ObjectId('527805346f94c119c081f21b') , ObjectId('527805346f94c119c081f355') , 1481, -701
ObjectId('527805346f94c119c081f227') , ObjectId('527805346f94c119c081f361') , 386, -310
ObjectId('527805346f94c119c081f233') , ObjectId('527805346f94c119c081f36d') , 1951, -934
ObjectId('527805346f94c119c081f23f') , ObjectId('527805346f94c119c081f379') , 719, -602
ObjectId('527805346f94c119c081f24b') , ObjectId('527805346f94c119c081f385') , 1171, -192
ObjectId('527805346f94c119c081f257') , ObjectId('527805346f94c119c081f3a9') , 1795, -1627
ObjectId('527805346f94c119c081f263') , ObjectId('527805346f94c119c081f3b5') , 1638, -534
ObjectId('527805346f94c119c081f26f') , ObjectId('527805346f94c119c081f331') , 840, 252
ObjectId('527805346f94c119c081f27b') , ObjectId('527805346f94c119c081f331') , 1042, 50
ObjectId('527805346f94c119c081f287') , ObjectId('527805346f94c119c081f2f5') , 639, 264
ObjectId('527805346f94c119c081f293') , ObjectId('527805346f94c119c081f325') , 295, 732
ObjectId('527805346f94c119c081f29f') , ObjectId('527805346f94c119c081f36d') , 1238, -221
Defender, Attacker, defend damage, attacker's health
ObjectId('527805346f94c119c081f2d1') , ObjectId('527805346f94c119c081f18b') , 536, 500
ObjectId('527805346f94c119c081f2dd') , ObjectId('527805346f94c119c081f197') , 2333, -2273
ObjectId('527805346f94c119c081f2e9') , ObjectId('527805346f94c119c081f1af') , 1299, -622
ObjectId('527805346f94c119c081f2f5') , ObjectId('527805346f94c119c081f1bb') , 588, 444
ObjectId('527805346f94c119c081f301') , ObjectId('527805346f94c119c081f1d3') , 313, 563
ObjectId('527805346f94c119c081f30d') , ObjectId('527805346f94c119c081f1df') , 1959, -1212
ObjectId('527805346f94c119c081f325') , ObjectId('527805346f94c119c081f1eb') , 1125, -835
ObjectId('527805346f94c119c081f331') , ObjectId('527805346f94c119c081f1f7') , 1663, -897
ObjectId('527805346f94c119c081f33d') , ObjectId('527805346f94c119c081f203') , 869, -322
ObjectId('527805346f94c119c081f349') , ObjectId('527805346f94c119c081f20f') , 611, 148
ObjectId('527805346f94c119c081f355') , ObjectId('527805346f94c119c081f21b') , 917, 7
ObjectId('527805346f94c119c081f361') , ObjectId('527805346f94c119c081f227') , 685, -190
ObjectId('527805346f94c119c081f36d') , ObjectId('527805346f94c119c081f233') , 1501, -1144
ObjectId('527805346f94c119c081f379') , ObjectId('527805346f94c119c081f23f') , 797, 395
ObjectId('527805346f94c119c081f385') , ObjectId('527805346f94c119c081f24b') , 458, -115
ObjectId('527805346f94c119c081f3a9') , ObjectId('527805346f94c119c081f257') , 438, 574
ObjectId('527805346f94c119c081f3b5') , ObjectId('527805346f94c119c081f263') , 573, -182
Attacker Kill Count:  12
Defender Kill Count:  10

Attack_fleet = 12
Defend_fleet = 6
Attacker, Defender, attack damage, defender's health
ObjectId('527805346f94c119c081f18b') , ObjectId('527805346f94c119c081f2f5') , 721, -457
ObjectId('527805346f94c119c081f1bb') , ObjectId('527805346f94c119c081f30d') , 705, -241
ObjectId('527805346f94c119c081f1d3') , ObjectId('527805346f94c119c081f325') , 1240, -508
ObjectId('527805346f94c119c081f20f') , ObjectId('527805346f94c119c081f331') , 1325, -1275
ObjectId('527805346f94c119c081f21b') , ObjectId('527805346f94c119c081f33d') , 806, -399
ObjectId('527805346f94c119c081f23f') , ObjectId('527805346f94c119c081f349') , 503, 27
ObjectId('527805346f94c119c081f257') , ObjectId('527805346f94c119c081f349') , 1607, -1077
ObjectId('527805346f94c119c081f26f') , ObjectId('527805346f94c119c081f325') , 1675, -943
ObjectId('527805346f94c119c081f27b') , ObjectId('527805346f94c119c081f2f5') , 559, -295
ObjectId('527805346f94c119c081f287') , ObjectId('527805346f94c119c081f349') , 1193, -663
ObjectId('527805346f94c119c081f293') , ObjectId('527805346f94c119c081f331') , 498, -448
ObjectId('527805346f94c119c081f29f') , ObjectId('527805346f94c119c081f325') , 515, 217
Defender, Attacker, defend damage, attacker's health
ObjectId('527805346f94c119c081f2f5') , ObjectId('527805346f94c119c081f18b') , 525, -25
ObjectId('527805346f94c119c081f30d') , ObjectId('527805346f94c119c081f1bb') , 2399, -1955
ObjectId('527805346f94c119c081f325') , ObjectId('527805346f94c119c081f1d3') , 685, -122
ObjectId('527805346f94c119c081f331') , ObjectId('527805346f94c119c081f20f') , 818, -670
ObjectId('527805346f94c119c081f33d') , ObjectId('527805346f94c119c081f21b') , 625, -618
ObjectId('527805346f94c119c081f349') , ObjectId('527805346f94c119c081f23f') , 1697, -1302
Attacker Kill Count:  10
Defender Kill Count:  6

Attack_fleet = 17
Defend_fleet = 21
Attacker, Defender, attack damage, defender's health
ObjectId('527805386f94c119c081f3e7') , ObjectId('527805386f94c119c081f4d9') , 700, 800
ObjectId('527805386f94c119c081f3f3') , ObjectId('527805386f94c119c081f4e5') , 813, 687
ObjectId('527805386f94c119c081f3ff') , ObjectId('527805386f94c119c081f4f1') , 1051, 449
ObjectId('527805386f94c119c081f40b') , ObjectId('527805386f94c119c081f4fd') , 1569, -69
ObjectId('527805386f94c119c081f417') , ObjectId('527805386f94c119c081f509') , 1453, 47
ObjectId('527805386f94c119c081f423') , ObjectId('527805386f94c119c081f515') , 866, 634
ObjectId('527805386f94c119c081f42f') , ObjectId('527805386f94c119c081f521') , 1771, -271
ObjectId('527805386f94c119c081f43b') , ObjectId('527805386f94c119c081f52d') , 702, 798
ObjectId('527805386f94c119c081f447') , ObjectId('527805386f94c119c081f539') , 874, 626
ObjectId('527805386f94c119c081f453') , ObjectId('527805386f94c119c081f545') , 546, 954
ObjectId('527805386f94c119c081f45f') , ObjectId('527805386f94c119c081f551') , 1768, -268
ObjectId('527805386f94c119c081f46b') , ObjectId('527805386f94c119c081f55d') , 1013, 487
ObjectId('527805386f94c119c081f477') , ObjectId('527805386f94c119c081f569') , 1231, 269
ObjectId('527805386f94c119c081f483') , ObjectId('527805386f94c119c081f575') , 897, 603
ObjectId('527805386f94c119c081f48f') , ObjectId('527805386f94c119c081f581') , 409, 1091
ObjectId('527805386f94c119c081f49b') , ObjectId('527805386f94c119c081f58d') , 931, 569
ObjectId('527805386f94c119c081f4a7') , ObjectId('527805386f94c119c081f599') , 1972, -472
Defender, Attacker, defend damage, attacker's health
ObjectId('527805386f94c119c081f4d9') , ObjectId('527805386f94c119c081f3e7') , 602, 898
ObjectId('527805386f94c119c081f4e5') , ObjectId('527805386f94c119c081f3f3') , 552, 948
ObjectId('527805386f94c119c081f4f1') , ObjectId('527805386f94c119c081f3ff') , 1116, 384
ObjectId('527805386f94c119c081f4fd') , ObjectId('527805386f94c119c081f40b') , 1220, 280
ObjectId('527805386f94c119c081f509') , ObjectId('527805386f94c119c081f417') , 276, 1224
ObjectId('527805386f94c119c081f515') , ObjectId('527805386f94c119c081f423') , 1999, -499
ObjectId('527805386f94c119c081f521') , ObjectId('527805386f94c119c081f42f') , 1899, -399
ObjectId('527805386f94c119c081f52d') , ObjectId('527805386f94c119c081f43b') , 1099, 401
ObjectId('527805386f94c119c081f539') , ObjectId('527805386f94c119c081f447') , 451, 1049
ObjectId('527805386f94c119c081f545') , ObjectId('527805386f94c119c081f453') , 1099, 401
ObjectId('527805386f94c119c081f551') , ObjectId('527805386f94c119c081f45f') , 602, 898
ObjectId('527805386f94c119c081f55d') , ObjectId('527805386f94c119c081f46b') , 933, 567
ObjectId('527805386f94c119c081f569') , ObjectId('527805386f94c119c081f477') , 527, 973
ObjectId('527805386f94c119c081f575') , ObjectId('527805386f94c119c081f483') , 1036, 464
ObjectId('527805386f94c119c081f581') , ObjectId('527805386f94c119c081f48f') , 1642, -142
ObjectId('527805386f94c119c081f58d') , ObjectId('527805386f94c119c081f49b') , 853, 647
ObjectId('527805386f94c119c081f599') , ObjectId('527805386f94c119c081f4a7') , 580, 920
ObjectId('527805386f94c119c081f5a5') , ObjectId('527805386f94c119c081f453') , 1289, 211
ObjectId('527805386f94c119c081f5b1') , ObjectId('527805386f94c119c081f453') , 1637, -137
ObjectId('527805386f94c119c081f5bd') , ObjectId('527805386f94c119c081f48f') , 495, 1005
ObjectId('527805386f94c119c081f5c9') , ObjectId('527805386f94c119c081f40b') , 1072, 428
Attacker Kill Count:  4
Defender Kill Count:  4

Attack_fleet = 13
Defend_fleet = 17
Attacker, Defender, attack damage, defender's health
ObjectId('527805386f94c119c081f3e7') , ObjectId('527805386f94c119c081f4d9') , 1477, -677
ObjectId('527805386f94c119c081f3f3') , ObjectId('527805386f94c119c081f4e5') , 857, -170
ObjectId('527805386f94c119c081f3ff') , ObjectId('527805386f94c119c081f4f1') , 952, -503
ObjectId('527805386f94c119c081f40b') , ObjectId('527805386f94c119c081f509') , 1741, -1694
ObjectId('527805386f94c119c081f417') , ObjectId('527805386f94c119c081f515') , 878, -244
ObjectId('527805386f94c119c081f43b') , ObjectId('527805386f94c119c081f52d') , 1176, -378
ObjectId('527805386f94c119c081f447') , ObjectId('527805386f94c119c081f539') , 1112, -486
ObjectId('527805386f94c119c081f45f') , ObjectId('527805386f94c119c081f545') , 1169, -215
ObjectId('527805386f94c119c081f46b') , ObjectId('527805386f94c119c081f55d') , 950, -463
ObjectId('527805386f94c119c081f477') , ObjectId('527805386f94c119c081f569') , 1215, -946
ObjectId('527805386f94c119c081f483') , ObjectId('527805386f94c119c081f575') , 538, 65
ObjectId('527805386f94c119c081f49b') , ObjectId('527805386f94c119c081f581') , 1740, -649
ObjectId('527805386f94c119c081f4a7') , ObjectId('527805386f94c119c081f58d') , 730, -161
Defender, Attacker, defend damage, attacker's health
ObjectId('527805386f94c119c081f4d9') , ObjectId('527805386f94c119c081f3e7') , 970, -72
ObjectId('527805386f94c119c081f4e5') , ObjectId('527805386f94c119c081f3f3') , 529, 419
ObjectId('527805386f94c119c081f4f1') , ObjectId('527805386f94c119c081f3ff') , 507, -123
ObjectId('527805386f94c119c081f509') , ObjectId('527805386f94c119c081f40b') , 572, -144
ObjectId('527805386f94c119c081f515') , ObjectId('527805386f94c119c081f417') , 646, 578
ObjectId('527805386f94c119c081f52d') , ObjectId('527805386f94c119c081f43b') , 2297, -1896
ObjectId('527805386f94c119c081f539') , ObjectId('527805386f94c119c081f447') , 574, 475
ObjectId('527805386f94c119c081f545') , ObjectId('527805386f94c119c081f45f') , 611, 287
ObjectId('527805386f94c119c081f55d') , ObjectId('527805386f94c119c081f46b') , 2282, -1715
ObjectId('527805386f94c119c081f569') , ObjectId('527805386f94c119c081f477') , 659, 314
ObjectId('527805386f94c119c081f575') , ObjectId('527805386f94c119c081f483') , 972, -508
ObjectId('527805386f94c119c081f581') , ObjectId('527805386f94c119c081f49b') , 852, -205
ObjectId('527805386f94c119c081f58d') , ObjectId('527805386f94c119c081f4a7') , 475, 445
ObjectId('527805386f94c119c081f5a5') , ObjectId('527805386f94c119c081f3f3') , 839, 109
ObjectId('527805386f94c119c081f5b1') , ObjectId('527805386f94c119c081f3ff') , 866, -482
